const,P-value for x,x,covars,y,site5,site6,26521-2.0,31-0.0,21003-2.0,24419-2.0,25741-2.0,IDP type
0.0,1.96535822240917e-07,RDS,[],27682-2.0,,,,,,,,Thickness
0.0,0.008054586944972889,RDS,[],27683-2.0,,,,,,,,Thickness
0.0,0.3853089476828545,RDS,[],27684-2.0,,,,,,,,Thickness
0.0,0.0001871772803298215,RDS,[],27685-2.0,,,,,,,,Thickness
0.0,0.007479980090343111,RDS,[],27686-2.0,,,,,,,,Thickness
0.0,2.8249507246501877e-08,RDS,[],27687-2.0,,,,,,,,Thickness
0.0,0.4788355852645205,RDS,[],27688-2.0,,,,,,,,Thickness
0.0,5.1604692053588e-06,RDS,[],27689-2.0,,,,,,,,Thickness
0.0,0.08474147414447071,RDS,[],27690-2.0,,,,,,,,Thickness
0.0,2.874340052531544e-15,RDS,[],27691-2.0,,,,,,,,Thickness
0.0,0.0013765050646143827,RDS,[],27692-2.0,,,,,,,,Thickness
0.0,0.00024463883582097226,RDS,[],27693-2.0,,,,,,,,Thickness
0.0,0.7084472279378805,RDS,[],27694-2.0,,,,,,,,Thickness
0.0,1.6614837935944942e-09,RDS,[],27695-2.0,,,,,,,,Thickness
0.0,0.5692792240490682,RDS,[],27696-2.0,,,,,,,,Thickness
0.0,0.00013213952143310755,RDS,[],27697-2.0,,,,,,,,Thickness
0.0,1.918072469028354e-08,RDS,[],27698-2.0,,,,,,,,Thickness
0.0,0.5906942852774678,G35_37,[],26755-2.0,,,,,,,,Thickness
0.0,0.36561702190524215,G35_37,[],26756-2.0,,,,,,,,Thickness
0.0,0.0397011082257273,G35_37,[],26757-2.0,,,,,,,,Thickness
0.0,0.7863735589344304,G35_37,[],26758-2.0,,,,,,,,Thickness
0.0,0.1653823603385275,G35_37,[],26759-2.0,,,,,,,,Thickness
0.0,0.41998748777182693,G35_37,[],26760-2.0,,,,,,,,Thickness
0.0,0.7739100042968128,G35_37,[],26761-2.0,,,,,,,,Thickness
0.0,0.6180397860198947,G35_37,[],26762-2.0,,,,,,,,Thickness
0.0,0.7044062705903534,G35_37,[],26763-2.0,,,,,,,,Thickness
0.0,0.43791236575160786,G35_37,[],26764-2.0,,,,,,,,Thickness
0.0,0.6699117392128542,G35_37,[],26765-2.0,,,,,,,,Thickness
0.0,0.007435246550035643,G35_37,[],26766-2.0,,,,,,,,Thickness
0.0,0.293745408469993,G35_37,[],26767-2.0,,,,,,,,Thickness
0.0,0.21386791131357707,G35_37,[],26768-2.0,,,,,,,,Thickness
0.0,0.9262794280068289,G35_37,[],26769-2.0,,,,,,,,Thickness
0.0,0.14989870171062358,G35_37,[],26770-2.0,,,,,,,,Thickness
0.0,0.8774249101977413,G35_37,[],26771-2.0,,,,,,,,Thickness
0.0,0.7912988188927385,G35_37,[],26772-2.0,,,,,,,,Thickness
0.0,0.2615598948764679,G35_37,[],26773-2.0,,,,,,,,Thickness
0.0,0.7752141859400061,G35_37,[],26774-2.0,,,,,,,,Thickness
0.0,0.05613887370467184,G35_37,[],26775-2.0,,,,,,,,Thickness
0.0,0.08623656103757764,G35_37,[],26776-2.0,,,,,,,,Thickness
0.0,0.3690155765916293,G35_37,[],26777-2.0,,,,,,,,Thickness
0.0,0.6732742909176663,G35_37,[],26778-2.0,,,,,,,,Thickness
0.0,0.9365598884604349,G35_37,[],26779-2.0,,,,,,,,Thickness
0.0,0.7655143254149558,G35_37,[],26780-2.0,,,,,,,,Thickness
0.0,0.8700626268515537,G35_37,[],26781-2.0,,,,,,,,Thickness
0.0,0.35916145718068737,G35_37,[],26782-2.0,,,,,,,,Thickness
0.0,0.7779013537148325,G35_37,[],26783-2.0,,,,,,,,Thickness
0.0,0.5282812876410811,G35_37,[],26784-2.0,,,,,,,,Thickness
0.0,0.7515716800635701,G35_37,[],26785-2.0,,,,,,,,Thickness
0.0,0.4799975436321938,G35_37,[],26786-2.0,,,,,,,,Thickness
0.0,0.5787061012418038,G35_37,[],26787-2.0,,,,,,,,Thickness
0.0,0.4732771076660559,G35_37,[],26788-2.0,,,,,,,,Thickness
0.0,0.8774074353664918,G35_37,[],26856-2.0,,,,,,,,Thickness
0.0,0.7634861496457944,G35_37,[],26857-2.0,,,,,,,,Thickness
0.0,0.7944228970167082,G35_37,[],26858-2.0,,,,,,,,Thickness
0.0,0.23033130658966827,G35_37,[],26859-2.0,,,,,,,,Thickness
0.0,0.7589397073638583,G35_37,[],26860-2.0,,,,,,,,Thickness
0.0,0.1328888339859303,G35_37,[],26861-2.0,,,,,,,,Thickness
0.0,0.9626816975183949,G35_37,[],26862-2.0,,,,,,,,Thickness
0.0,0.8794208435082782,G35_37,[],26863-2.0,,,,,,,,Thickness
0.0,0.68602528949482,G35_37,[],26864-2.0,,,,,,,,Thickness
0.0,0.6820960720377287,G35_37,[],26865-2.0,,,,,,,,Thickness
0.0,0.2699757187020805,G35_37,[],26866-2.0,,,,,,,,Thickness
