const,P-value for x,x,covars,y,site5,site6,26521-2.0,31-0.0,21003-2.0,24419-2.0,25741-2.0,IDP type
0.0,0.47756385148941616,RDS,[],27158-2.0,,,,,,,,Area
0.0,0.0031065361758927904,RDS,[],27159-2.0,,,,,,,,Area
0.0,0.5800829982900347,RDS,[],27160-2.0,,,,,,,,Area
0.0,0.0009434562994502641,RDS,[],27161-2.0,,,,,,,,Area
0.0,5.534849386852359e-15,RDS,[],27162-2.0,,,,,,,,Area
0.0,0.005675903951347282,RDS,[],27163-2.0,,,,,,,,Area
0.0,1.3354788140484328e-12,RDS,[],27164-2.0,,,,,,,,Area
0.0,3.817692873140939e-05,RDS,[],27165-2.0,,,,,,,,Area
0.0,9.517912823779021e-05,RDS,[],27166-2.0,,,,,,,,Area
0.0,0.0007099390193937159,RDS,[],27167-2.0,,,,,,,,Area
0.0,4.550118864025252e-06,RDS,[],27168-2.0,,,,,,,,Area
0.0,1.2472679119120737e-06,RDS,[],27169-2.0,,,,,,,,Area
0.0,5.451644413655397e-07,RDS,[],27170-2.0,,,,,,,,Area
0.0,4.088204665826987e-12,RDS,[],27171-2.0,,,,,,,,Area
0.0,0.3210545832738938,RDS,[],27172-2.0,,,,,,,,Area
0.0,1.0858791093874186e-07,RDS,[],27173-2.0,,,,,,,,Area
0.0,0.6958007966496706,RDS,[],27236-2.0,,,,,,,,Area
0.0,5.756747752298621e-05,RDS,[],27237-2.0,,,,,,,,Area
0.0,2.7528432646706175e-06,RDS,[],27238-2.0,,,,,,,,Area
0.0,8.49479743410827e-11,RDS,[],27239-2.0,,,,,,,,Area
0.0,8.092100981156022e-06,RDS,[],27240-2.0,,,,,,,,Area
0.0,1.2892215982774663e-11,RDS,[],27241-2.0,,,,,,,,Area
0.0,9.611200424499846e-07,RDS,[],27242-2.0,,,,,,,,Area
0.0,9.068744855699999e-06,RDS,[],27243-2.0,,,,,,,,Area
0.0,3.313666641845518e-05,RDS,[],27244-2.0,,,,,,,,Area
0.0,1.2389481028689247e-05,RDS,[],27245-2.0,,,,,,,,Area
0.0,0.008236013242804827,RDS,[],27246-2.0,,,,,,,,Area
0.0,2.149604207876771e-10,RDS,[],27247-2.0,,,,,,,,Area
0.0,0.00033884503725824656,RDS,[],27248-2.0,,,,,,,,Area
0.0,0.5197282799608898,RDS,[],27249-2.0,,,,,,,,Area
0.0,7.864574952481724e-08,RDS,[],27250-2.0,,,,,,,,Area
0.0,0.3089306234157775,RDS,[],27251-2.0,,,,,,,,Area
0.0,0.5094077075158843,RDS,[],27252-2.0,,,,,,,,Area
0.0,0.1788338343036282,RDS,[],27253-2.0,,,,,,,,Area
0.0,3.679956975589348e-05,RDS,[],27254-2.0,,,,,,,,Area
0.0,2.0669035232933922e-14,RDS,[],27255-2.0,,,,,,,,Area
0.0,0.0009479627855041423,RDS,[],27256-2.0,,,,,,,,Area
0.0,7.567024689053235e-13,RDS,[],27257-2.0,,,,,,,,Area
0.0,2.3223619564642e-05,RDS,[],27258-2.0,,,,,,,,Area
0.0,1.1430048672742722e-05,RDS,[],27259-2.0,,,,,,,,Area
0.0,2.0500655678929913e-05,RDS,[],27260-2.0,,,,,,,,Area
0.0,6.7101498725276246e-09,RDS,[],27261-2.0,,,,,,,,Area
0.0,2.6589588076870035e-06,RDS,[],27262-2.0,,,,,,,,Area
0.0,3.6262546194509325e-06,RDS,[],27263-2.0,,,,,,,,Area
0.0,1.4974332388406435e-12,RDS,[],27264-2.0,,,,,,,,Area
0.0,0.9661496704371582,RDS,[],27265-2.0,,,,,,,,Area
0.0,2.942191176907556e-07,RDS,[],27266-2.0,,,,,,,,Area
0.0,0.001129464890032417,RDS,[],27329-2.0,,,,,,,,Area
0.0,0.06451273879472286,RDS,[],27330-2.0,,,,,,,,Area
0.0,1.7105916719155747e-09,RDS,[],27331-2.0,,,,,,,,Area
0.0,3.624700088530677e-07,RDS,[],27332-2.0,,,,,,,,Area
0.0,0.01931029634055309,RDS,[],27333-2.0,,,,,,,,Area
0.0,0.004076364974761773,RDS,[],27334-2.0,,,,,,,,Area
0.0,0.0032481867292688408,RDS,[],27335-2.0,,,,,,,,Area
0.0,0.00399209088827154,RDS,[],27336-2.0,,,,,,,,Area
0.0,0.0037066709526282957,RDS,[],27337-2.0,,,,,,,,Area
0.0,0.00045946729610799226,RDS,[],27338-2.0,,,,,,,,Area
0.0,0.00017949436347704345,RDS,[],27339-2.0,,,,,,,,Area
0.0,0.17728161985035262,RDS,[],27340-2.0,,,,,,,,Area
0.0,0.11573877707124382,RDS,[],27341-2.0,,,,,,,,Area
0.0,0.6015071487197046,RDS,[],27342-2.0,,,,,,,,Area
0.0,0.0005913980982448272,RDS,[],27343-2.0,,,,,,,,Area
0.0,5.254231375361557e-07,RDS,[],27344-2.0,,,,,,,,Area
0.0,0.0794059277168261,RDS,[],27345-2.0,,,,,,,,Area
0.0,0.0025220622723099223,RDS,[],27346-2.0,,,,,,,,Area
0.0,1.673835953639122e-06,RDS,[],27347-2.0,,,,,,,,Area
0.0,0.00899793457106891,RDS,[],27348-2.0,,,,,,,,Area
0.0,7.814874755286988e-05,RDS,[],27349-2.0,,,,,,,,Area
0.0,0.06606098188306682,RDS,[],27350-2.0,,,,,,,,Area
0.0,0.0023009485975724856,RDS,[],27351-2.0,,,,,,,,Area
0.0,0.004618588285655805,RDS,[],27352-2.0,,,,,,,,Area
0.0,2.0188237212471048e-05,RDS,[],27353-2.0,,,,,,,,Area
0.0,1.2543890887659145e-08,RDS,[],27354-2.0,,,,,,,,Area
0.0,6.324491139081387e-06,RDS,[],27355-2.0,,,,,,,,Area
0.0,5.905417157140722e-10,RDS,[],27356-2.0,,,,,,,,Area
0.0,1.8503372983447408e-07,RDS,[],27357-2.0,,,,,,,,Area
0.0,0.005275271565976405,RDS,[],27358-2.0,,,,,,,,Area
0.0,1.3234306114682765e-06,RDS,[],27359-2.0,,,,,,,,Area
0.0,5.419634363961835e-13,RDS,[],27360-2.0,,,,,,,,Area
0.0,0.2059706454800343,RDS,[],27361-2.0,,,,,,,,Area
0.0,0.003301130800050372,RDS,[],27362-2.0,,,,,,,,Area
0.0,0.00019020698507357393,RDS,[],27363-2.0,,,,,,,,Area
0.0,3.64670836982842e-05,RDS,[],27364-2.0,,,,,,,,Area
0.0,0.0007194555912793333,RDS,[],27365-2.0,,,,,,,,Area
0.0,0.00016000995483476737,RDS,[],27366-2.0,,,,,,,,Area
0.0,0.03700545405287735,RDS,[],27367-2.0,,,,,,,,Area
0.0,0.34965033212485497,RDS,[],27368-2.0,,,,,,,,Area
0.0,1.8539250311490414e-06,RDS,[],27369-2.0,,,,,,,,Area
0.0,0.001876925008477456,RDS,[],27370-2.0,,,,,,,,Area
0.0,2.2487722755019465e-05,RDS,[],27371-2.0,,,,,,,,Area
0.0,0.0012560914252424424,RDS,[],27372-2.0,,,,,,,,Area
0.0,1.696614748982991e-20,RDS,[],27373-2.0,,,,,,,,Area
0.0,1.533391792071378e-05,RDS,[],27374-2.0,,,,,,,,Area
0.0,2.0469315719568367e-07,RDS,[],27375-2.0,,,,,,,,Area
0.0,0.0004233891871063065,RDS,[],27376-2.0,,,,,,,,Area
0.0,6.553504692121197e-06,RDS,[],27377-2.0,,,,,,,,Area
0.0,0.027094405887650587,RDS,[],27378-2.0,,,,,,,,Area
0.0,0.006956456628500505,RDS,[],27379-2.0,,,,,,,,Area
0.0,0.018796859533429883,RDS,[],27380-2.0,,,,,,,,Area
0.0,0.0009582294997281603,RDS,[],27381-2.0,,,,,,,,Area
0.0,0.0002305852507473478,RDS,[],27382-2.0,,,,,,,,Area
0.0,0.00032802160376941165,RDS,[],27383-2.0,,,,,,,,Area
0.0,1.870301835935523e-06,RDS,[],27384-2.0,,,,,,,,Area
0.0,2.437158186324566e-05,RDS,[],27385-2.0,,,,,,,,Area
0.0,7.952128411501643e-05,RDS,[],27386-2.0,,,,,,,,Area
0.0,0.010284921375140425,RDS,[],27387-2.0,,,,,,,,Area
0.0,7.19660929135607e-05,RDS,[],27388-2.0,,,,,,,,Area
0.0,0.1072249968377866,RDS,[],27389-2.0,,,,,,,,Area
0.0,0.7313841808238608,RDS,[],27390-2.0,,,,,,,,Area
0.0,2.61750175064392e-06,RDS,[],27391-2.0,,,,,,,,Area
0.0,0.1662432694880388,RDS,[],27392-2.0,,,,,,,,Area
0.0,0.0009574548782871982,RDS,[],27393-2.0,,,,,,,,Area
